fundingTime,fundingRate,rate_7d_mean,rate_7d_std,rate_30d_mean,rate_30d_std,rate_zscore,rate_zscore_7d,rate_momentum_1d,rate_momentum_3d,rate_momentum_7d,rate_acceleration,pct_positive_7d,pct_positive_30d,rate_volatility_7d,hour,weekday,hour_sin,hour_cos,weekday_sin,weekday_cos,binance_premium,tri_exchange_mean,tri_exchange_std,tri_exchange_outlier,max_exchange_spread,usdt_supply,usdt_inflow_7d_pct,usdc_supply,usdc_inflow_7d_pct,total_stablecoin_supply,total_inflow_7d_pct,pred_direction_matches_actual,rate_btc,zscore_btc,mom_btc,rate_eth,zscore_eth,mom_eth,rate_sol,zscore_sol,mom_sol,rate_doge,zscore_doge,mom_doge,rate_xrp,zscore_xrp,mom_xrp,rate_avax,zscore_avax,mom_avax,rate_link,zscore_link,mom_link,btc_eth_spread,btc_sol_spread,eth_sol_spread,btc_eth_spread_zscore,btc_sol_spread_zscore,eth_sol_spread_zscore,hierarchy_normal,hierarchy_inversion,all_above_zscore_1,sync_score,btc_falling_sol_rising,rotation_direction,portfolio_rate_weighted,rel_score_btc,rel_score_eth,rel_score_sol,rel_score_doge,rel_score_xrp,rel_score_avax,rel_score_link
2024-12-11 08:00:00.000,0.599888925928093,-0.29927643437755935,-0.14204463601800577,-0.6043825262170679,-0.1064810451185031,0.6325006434009314,0.6718085929908197,0.26982548781322563,0.5614783253919285,0.5244037820287383,0.08777286470923942,0.009059258736655407,-0.6165479641797702,-0.14204463601800577,-0.04498380376198594,0.2775181540305445,-0.04498380376198594,0.04498380376198594,-0.3042069414597248,-0.3437877702741871,,0.599888925928093,,,,-0.6176272862202861,-0.5312850548496216,-0.4415788404385416,0.02960305075565642,-0.6019286986983472,-0.5216416368004305,-0.5861403740714266,0.15462454560089536,0.2722522190345111,-0.036181180872510904,0.599888925928093,0.6325006434009314,0.26982548781322563,0.4678238265633263,0.49559284170433154,0.27239419071873233,0.35908468920134573,0.41747006351234994,0.06253537434754972,0.5460879336799991,0.6608470169077552,0.10046100564476777,0.27347049469185575,0.34980572618649153,-0.021352794407676536,0.4978182728597309,0.5188202664619928,0.30422377020001107,-0.40693283583216017,-0.3599790470822955,-0.12923471379724646,-0.3991096927109691,-0.43752427981017816,-0.17130225758775225,0.426057948490066,-0.019505274549295383,0.11930290799683903,0.5269694945687086,0.22304456712452514,0.14316011963758152,0.47302261115800215,0.09156965529462636,0.6622049462160176,0.4218904362232908,0.2045800103655555,0.4734821200600193,0.29458628130149306,0.446457904716971
2024-12-11 16:00:00.001,0.6178239474663682,-0.3275193063852337,-0.21513742545195463,-0.6889960219586573,-0.14044354974024587,0.6539192713269089,0.6924246169853232,0.2421093679299904,0.5966089894167107,0.5401941806613596,0.08574155457658544,0.0708766371206053,-0.7094116886728435,-0.21513742545195463,-0.042716920543777626,0.3167146103629623,-0.07119486757296271,0.042716920543777626,-0.3838209272329959,-0.3135406629434337,,0.6178239474663682,,,,-0.6494338738405012,-0.5446792233698632,-0.5001697366892056,0.09598763036687229,-0.6485346922913972,-0.4835348780307782,-0.6297456311567013,0.22259998416051785,0.3499450634575885,-0.010522980155154613,0.6178239474663682,0.6539192713269089,0.2421093679299904,0.4933852217417731,0.5222847175644226,0.27337359083922946,0.4094715914864646,0.46278723363201246,0.059331696619488776,0.5592878022945501,0.6782644498978535,0.09664338815048436,0.29971525235749935,0.3955677832275814,-0.02804599941688114,0.5243300361728037,0.546014756167864,0.3124353082907832,-0.39331709582234115,-0.3614568404847641,-0.13619137316837482,-0.3857250614502787,-0.4493036554444047,-0.19185512342593664,0.42706455583542247,0.05437597829090977,0.1403821258138971,0.5528142820768907,0.22357153370361393,0.12635467193369868,0.5017995845022973,0.1878254942291258,0.67630610019808,0.4349760849668552,0.25677692715233286,0.484674845060855,0.33244440873689135,0.464526699076801
2024-12-12 00:00:00.001,0.7123199493136572,-0.2355820036970991,-0.1801113126454466,-0.6636624655267646,-0.050221054575112355,0.7381868886104527,0.7604200805704268,0.17873819837857052,0.6038894260643465,0.6645254041370031,0.08511494699828462,0.1885015270224256,-0.6943110353119991,-0.1801113126454466,-0.15712504352185758,0.2615845625440622,0.04999433202968196,0.15712504352185758,-0.3954502916788825,-0.31417467041845587,,0.7123199493136572,,,,-0.7105884934965623,-0.6368226403621572,-0.44868587732211507,0.184076257362919,-0.6984069764651927,-0.5576427796582546,-0.6663956674521238,0.3570618907277262,0.4520515055197959,0.05369796710697376,0.7123199493136572,0.7381868886104527,0.17873819837857052,0.5848358861035613,0.5962537843811231,0.23164269492589937,0.5255406516990753,0.5581997721556979,0.1240220830253118,0.6695574176808977,0.7380339973577436,0.14576344140460307,0.4275438120088694,0.47904929755835063,0.02062933060080025,0.6420371116751585,0.6632517186707454,0.4051399163247598,-0.37561163695008987,-0.3659169788535389,-0.1503799290790576,-0.36718453388442046,-0.45724019020714385,-0.2061623254470324,0.395606370217459,0.16364486488912347,0.19298511729565987,0.667138578878429,0.1372371443765401,0.07789645253469883,0.6137802283943365,0.3489937404626235,0.7673819891639541,0.4491553931307895,0.40558731999710296,0.6306141719556286,0.40918056314214923,0.637126925156025
2024-12-12 08:00:00.000,0.7175111449263802,-0.1382313653864742,-0.17340933112919843,-0.6464261966874667,0.01353751812825602,0.7394137799384158,0.760159759735407,0.0924352796597605,0.5747989402448984,0.6816858361554836,0.016463315363246193,0.2885612363947944,-0.6815445992261739,-0.17340933112919843,-0.047809144373375745,0.3306692404887261,0.052590058810713325,0.047809144373375745,-0.4010049629131236,-0.33614994613218563,,0.7175111449263802,,,,-0.7223232969599044,-0.6697906935446386,-0.4356583145300489,0.2853063806173917,-0.7087372788352667,-0.5280432377775853,-0.6973605153087522,0.3874285714285715,0.47488838105058984,0.03544291229360542,0.7175111449263802,0.7394137799384158,0.0924352796597605,0.6156277567144928,0.616741899399685,0.19166262762592995,0.543467923822783,0.5708669587634257,0.04760163819556981,0.6767421639199196,0.7392562341493316,0.05695634608748164,0.4594526691851804,0.5111573287220454,-0.030633891321952277,0.689967093994879,0.6871742727645364,0.37674721563036856,-0.3356112982604994,-0.3719181324198502,-0.17903807594829885,-0.3253961831201994,-0.46926504301672556,-0.24421626217545112,0.3737908634289549,0.25821206282386405,0.1263172353879072,0.6953880703168622,0.18373416056422867,0.037738254121989064,0.6352947949231951,0.3880851220719773,0.768728751390686,0.4886580241313043,0.41830209264585577,0.6442528726087385,0.45708805487501336,0.6947648234188042
2024-12-12 16:00:00.001,0.7356789855493705,0.00861340365727605,-0.059613820049042136,-0.590489533773508,0.16023044819926963,0.7439260737678947,0.7631928977381174,-0.0004551123472563591,0.524510949024652,0.7101524646906806,-0.05896005395281406,0.37970812103860274,-0.6532890554123486,-0.059613820049042136,-0.040848393163238086,0.40859243246183113,-0.04805693313322127,0.040848393163238086,-0.3980333021847276,-0.3638309019393271,,0.7356789855493705,,,,-0.7308467588812395,-0.6973884986646272,-0.4169764130396857,0.3798764374253469,-0.7158246828656177,-0.4932248291795845,-0.723531567251704,0.4207852193995381,0.5147666248957229,0.010450025824152023,0.7356789855493705,0.7439260737678947,-0.0004551123472563591,0.6763818615457413,0.6668587778870037,0.14675471048700447,0.609338598544083,0.63322605791108,0.08010313870761529,0.6938455022245025,0.7419518335147937,-0.014415445628342934,0.5699128616560737,0.5695219276503246,0.013385770940604152,0.7375170342328168,0.7226996268935035,0.34929872651925564,-0.3050125241679544,-0.40752235974728196,-0.2940293274987408,-0.29421573545116614,-0.4979907325009338,-0.36810967208990275,0.4313916075142778,0.2628967546740884,0.16160062758330213,0.7528341122432837,0.2308580394047173,-0.010443095802291968,0.6819858523636542,0.4014299441325233,0.766139588462975,0.5206575842306076,0.46421712342371974,0.6489519650205613,0.5134041916771119,0.7217125590728143
2024-12-13 00:00:00.000,0.7505092293178883,0.14668241963539194,0.07459588059218221,-0.515442188253231,0.2964953734979437,0.7512056109787646,0.7626117089286395,-0.1030708147275841,0.47563428450978573,0.7480119035527997,-0.1272055066162875,0.462653498071156,-0.6061267005452268,0.07459588059218221,-0.13542223335386885,0.49604359650437857,0.053201591674734185,0.13542223335386885,-0.3864283681859285,-0.3975286444713411,,0.7505092293178883,,,,-0.7362389876187977,-0.7197406349550711,-0.3925233071244944,0.4681407568332412,-0.7197406349550711,-0.45301726689149174,-0.7455599567592179,0.4741520467836257,0.5698741471821338,-0.002977198992955035,0.7505092293178883,0.7512056109787646,-0.1030708147275841,0.7216667239692743,0.7096874144412197,0.11244651581084017,0.6846700319362451,0.6934169146089281,0.07156155321533984,0.7112069651990306,0.7505960996995551,-0.09625863378131479,0.6216595466689039,0.6050358336635129,-0.04185250786236419,0.780259982291778,0.7526580690880994,0.3087533314222731,-0.24995890054815298,-0.3984081273306823,-0.41459418009513255,-0.2388436910703816,-0.4961652608195606,-0.40126652587660094,0.49017813042029335,0.2612146295802877,0.19748759335124141,0.7742335956224354,0.2788060141429291,-0.06706604612976258,0.7325144093445898,0.44734716159409577,0.7598742454206695,0.5340335060131454,0.5071151148514405,0.669081705739665,0.5408771647830705,0.7443619522088396
2024-12-13 08:00:00.000,0.7628707975049577,0.29128780570891827,0.22300644951669357,-0.4218519334465335,0.44545605638687974,0.756152796350933,0.7506351110020665,-0.06916052355941336,0.42169003125132587,0.7738553701785469,-0.04285751260251013,0.5445590244448213,-0.5332955813025713,0.22300644951669357,-0.017059982505519156,0.5472491016617665,0.05605422823242009,0.017059982505519156,-0.41826548016820403,-0.3970786398145683,,0.7628707975049577,,,,-0.7357369515362626,-0.717730210958971,-0.3924546023255872,0.5025727466251785,-0.717730210958971,-0.44255027803420627,-0.7639320872976918,0.5231646471846044,0.6217059951156635,0.09277102120119547,0.7628707975049577,0.756152796350933,-0.06916052355941336,0.7512172446682743,0.7276447553817887,0.18091505880133382,0.7324778060734936,0.7213679559671712,0.1611011091240326,0.79416276489717,0.7638314746092532,-0.015147287379967412,0.6789265758588577,0.6494680478536574,0.02916325131312758,0.7928104116221175,0.7488791885417495,0.25853967531941774,-0.17474526489633072,-0.3630766227738775,-0.4207003964528284,-0.16346142846017434,-0.4653247977544203,-0.40325083757967056,0.4477312731356747,0.3589836483038139,0.24586051523002805,0.8230193175881798,0.32781402030670403,-0.15098306987955018,0.770745297787959,0.48601611781267035,0.756152796350933,0.5292379863787923,0.5071672449833258,0.6851125974842751,0.5802765758558087,0.7400595474167386
2024-12-13 16:00:00.001,0.8129851968073217,0.33579643846328655,0.2703544235036135,-0.38902562356288733,0.47738892806991623,0.7962111820093546,0.7753254325541398,-0.09385475266042681,0.40745344658263477,0.8138480371048692,-0.018404840768225225,0.5672588301961364,-0.5174368792146473,0.2703544235036135,-0.014760248092334921,0.5109121219711455,0.014760248092334921,0.014760248092334921,-0.39246699341849733,-0.32901424597957857,,0.8129851968073217,,,,-0.7841288610196528,-0.7645547676093556,-0.4406501266532433,0.5063631545306704,-0.7645547676093556,-0.485390911591066,-0.7790130937621208,0.5628177196804647,0.6623730388035652,0.08644308143633012,0.8129851968073217,0.7962111820093546,-0.09385475266042681,0.7736086417506365,0.7581527052242965,0.17640010927251107,0.7793196867835541,0.7616558096849813,0.1674360560522724,0.8008811632830892,0.7533327197453794,-0.001176124720055474,0.7328810898511048,0.6928627921852539,0.03117278747134217,0.8348086932407924,0.7912818321753478,0.27591885932501414,-0.15776761903435005,-0.3500394684759109,-0.46473628955367363,-0.14643231006933918,-0.45971855189756095,-0.44347408009906053,0.451938453788867,0.3931820018023928,0.3012923025259113,0.8557352565851806,0.330894378742291,-0.1705684445049483,0.8126586707388326,0.5144856282467908,0.7943546709466687,0.5302659722796197,0.5302659722796197,0.6820357516541803,0.5975644983019783,0.7716124104287683
2024-12-14 00:00:00.000,0.8271226461612836,0.3888364574991832,0.31679494123349267,-0.33857659259631084,0.5183067433439533,0.7994965665055626,0.7647664544295946,-0.08774682953700634,0.3744694655076587,0.8088830832828513,0.011570785027904939,0.5924716437574192,-0.4786049777303042,0.31679494123349267,-0.06965260331469925,0.49563667278004536,0.07214019629022421,0.06965260331469925,-0.37859647935178414,-0.2751158205280166,,0.8271226461612836,,,,-0.8181634550283424,-0.7969491908530182,-0.47237094897055554,0.5140923351820268,-0.7969491908530182,-0.5084351980686069,-0.7910721934615914,0.5834158415841586,0.667208950263257,0.1317740984136482,0.8271226461612836,0.7994965665055626,-0.08774682953700634,0.7920197929888296,0.7800195441926886,0.1510407084705174,0.7995374333999299,0.7739419560909363,0.14639601788376344,0.8068237426665147,0.7384863047042532,-0.028691061428993903,0.743638124355332,0.6928290355925801,0.0580798347889849,0.8498874896336124,0.7985009137002769,0.28858425953996364,-0.11421963334284713,-0.34217389096976075,-0.47749141836956693,-0.10864893169711637,-0.4587660074899838,-0.4587660074899838,0.4632536674393843,0.43857370311083044,0.3182074149501018,0.8750939702758898,0.34528889707351473,-0.21653991928219585,0.8251342010775193,0.5277569058030556,0.7938646564391895,0.5493458943908195,0.5247062878504367,0.6943675785999295,0.5967478041161273,0.7861207800979263
2024-12-14 08:00:00.000,0.8364361365008541,0.4287049621038552,0.3578485679236285,-0.2922882151312978,0.5664529678407547,0.7920223121286422,0.7487476015890406,-0.07972734920126259,0.34482571305463333,0.7996310524432975,0.002640290954972249,0.6077260139883667,-0.43638316324776355,0.3578485679236285,-0.020164507674589452,0.4377596971097031,0.07057577686106307,0.020164507674589452,-0.33181125556500046,-0.2677606068129757,,0.8364361365008541,,,,-0.8497390710254809,-0.8229981955113326,-0.5087929082200898,0.4834845796084853,-0.8268183205847823,-0.5240734085138888,-0.8002966186358429,0.6152257399809882,0.6915142529760263,0.1352077121732068,0.8364361365008541,0.7920223121286422,-0.07972734920126259,0.8192352066658545,0.8005821449826293,0.12573351050842393,0.8241957589314666,0.7985598029723153,0.12363913786961692,0.8197111720995341,0.7189628032383061,-0.028829070810216656,0.7575101669118807,0.6895046394029658,0.03447583824600477,0.8620182912004305,0.8083707430685773,0.3201284694228067,-0.11180199815229343,-0.30346256641336783,-0.49779141985418407,-0.10676013754000611,-0.42394949940719573,-0.47816177414911415,0.4693936178602441,0.4621033008760083,0.3361451362696941,0.8819296586244337,0.34986534591335505,-0.235326063878225,0.8293221703885999,0.5575780011833281,0.783938025544321,0.5670889265766471,0.5323740488910327,0.6774156611391479,0.5918173325992767,0.7977288673646337
2024-12-14 16:00:00.000,0.845262622363342,0.4728251492169436,0.397240740787473,-0.22815753563646043,0.6155907973806936,0.7861169992764993,0.7259001014025189,-0.0606414447496868,0.2996427472780421,0.7966548351719595,0.040142789513149466,0.6253033489124117,-0.37724009648324575,0.397240740787473,-0.01791928897671982,0.3975154084174362,0.020479187401965516,0.01791928897671982,-0.3040974533171836,-0.2652140636288585,,0.845262622363342,,,,-0.8695468416794229,-0.8365690473491381,-0.5269172579390368,0.46120415306030743,-0.8448134959317093,-0.5261898065935158,-0.8067972483298549,0.6362053020230956,0.6882934719683931,0.12671149347336663,0.845262622363342,0.7861169992764993,-0.0606414447496868,0.8298758495998437,0.7966548351719595,0.15798117806851078,0.8487250862083117,0.8144345810309949,0.1564825433962353,0.8347313237221493,0.7001718442805095,-0.005289897300344433,0.7780838372662777,0.6916573207707928,0.06508081018193987,0.8870740864313913,0.8301642970359926,0.29372419946659,-0.13904782791991818,-0.3458562821268979,-0.4921179071291891,-0.13329902061682986,-0.47089327935293146,-0.46751250709091047,0.47671879822586555,0.4814466776779212,0.3553252129950138,0.8856333146312693,0.3553252129950138,-0.2281162836403819,0.8335893978403228,0.571350512281557,0.7783020714638452,0.5556540696364591,0.5329545987343177,0.6481423393760349,0.5930840482516921,0.8174224362100887
2024-12-15 00:00:00.000,0.8568264554458839,0.5417323307666757,0.44336967424980317,-0.12648045590971047,0.678890502890416,0.7737207218706706,0.6932108218026596,-0.1408250302013497,0.2407716637849557,0.7827208392330136,-0.009771376895247347,0.6562142460232381,-0.282754152794705,0.44336967424980317,-0.07820353147316052,0.3926234861242792,0.09384423776779262,0.07820353147316052,-0.32082947723298244,-0.2729668046387846,,0.8568264554458839,,,,-0.8707036664288538,-0.8306883489929745,-0.5224221998573123,0.43794541860378944,-0.8440267881382677,-0.5164940046816264,-0.810606958236163,0.6446217725550809,0.6773578167843072,0.1006097204384222,0.8568264554458839,0.7737207218706706,-0.1408250302013497,0.8428721372999552,0.7975639594372151,0.10698619428106947,0.8570645586950902,0.8109440855134288,0.10262695794094696,0.8238651807556402,0.6627189490176512,0.04513568911899142,0.7904627687847697,0.6810548580947794,0.01235266306613592,0.9014027850594237,0.8326718931898042,0.26292469208813013,-0.2072484078500671,-0.31048353466399287,-0.47124095484216394,-0.19650126536858922,-0.4429271325767575,-0.44194339657991843,0.5082948807377274,0.4785987974446511,0.37602272793426633,0.89276037235948,0.37602272793426633,-0.19392663960957127,0.8328669338549087,0.5687820613088158,0.7650155610599765,0.5402568909189227,0.5048463345728484,0.6115698168936553,0.5781265136779186,0.8240331549701001
2024-12-15 08:00:00.000,0.8645946828225406,0.6339913733945625,0.5259817495595143,0.02752315161408616,0.7863692629545064,0.7538910251694126,0.6430340395761015,-0.2834992675259019,0.2969253056512406,0.7761621805820912,-0.1092085505570381,0.7043496802232923,-0.13697700395681509,0.5259817495595143,0.034615627014097636,0.37838166603174594,0.09852139996320097,-0.034615627014097636,-0.3542161142515671,-0.2580626555893823,,0.8645946828225406,,,,-0.8532785173920805,-0.8053556919990874,-0.484777212659645,0.39851612695225747,-0.8245248221562846,-0.5180709650379348,-0.8116710703965688,0.6319259788388254,0.6366062019712364,0.0376048310880367,0.8645946828225406,0.7538910251694126,-0.2834992675259019,0.855860317628551,0.7978528592132405,0.20516015125930906,0.8765820073831767,0.8176929195832615,0.19753954081873426,0.8037898544544814,0.6346512969101772,-0.05434670794229962,0.7902455085602708,0.6517781129342084,-0.10674396761757812,0.917347730265149,0.832481078957565,0.19500510364398485,-0.3337010754603911,-0.4539730640414492,-0.4520600212259119,-0.3122579042827638,-0.4289639933213958,-0.41751620025579517,0.5775434510839512,0.44122135296356163,0.42757664746593055,0.8912779280009957,0.42757664746593055,-0.09077986120860866,0.8234427738935161,0.5423087857206262,0.7495365523808932,0.5109106392569494,0.4667020490360924,0.5744604876994313,0.5485884150133615,0.8173565487424352
2024-12-15 16:00:00.000,0.8346568349404424,0.7186407762606352,0.5259817495595143,0.1843674128669607,0.7531795770360429,0.6679474483000996,0.5104082689135306,-0.460416206286863,0.16294828401151212,0.7188919614323447,-0.2249251144802014,0.7742142230695699,0.056416290826686206,0.5259817495595143,0.034615627014097636,0.29087693116457236,-0.06124303240955736,-0.034615627014097636,-0.3448042677687607,-0.2570451586723222,,0.8346568349404424,,,,-0.8534046300904831,-0.7144284364508035,-0.48490332535804753,0.3698885444148644,-0.8246509348546873,-0.46674309678807124,-0.7988221618637917,0.6266506740945647,0.631831027143975,-0.05048319789900818,0.8346568349404424,0.6679474483000996,-0.460416206286863,0.855860317628551,0.7978528592132405,0.12786481968651703,0.8765820073831767,0.8176929195832615,0.14043218342041425,0.7498581962563812,0.5173377291354281,-0.18689680603086556,0.7829368121273445,0.5804352566656168,-0.02859770466625616,0.8912365286443562,0.7589650116666584,0.09637866942098182,-0.43893906546881695,-0.6604220801549173,-0.4329742543466515,-0.4107334461000151,-0.6222113927731552,-0.3989264296066202,0.6358811734156634,0.2419600967864693,0.2963393876206407,0.8723059435110814,0.47105901839466924,0.06918465193431408,0.8234427738935161,0.5332661195390873,0.6689061122621711,0.5139248613174623,0.46519493800583583,0.4649437528341265,0.48353145554062316,0.7528019596131156
2024-12-16 00:00:00.000,0.8613159387407827,0.7409962565427731,0.5696879694369523,0.27636260456335826,0.7360818600477435,0.6656857752245914,0.423498199502073,-0.4891418821309996,0.09522290346922739,0.6571004091918288,-0.22362721999387591,0.7917690776731146,0.17365639520089352,0.5696879694369523,-0.0772194756468332,0.16233032037394385,0.05059207025137348,0.0772194756468332,-0.28226378060316354,-0.26851344758325296,,0.8613159387407827,,,,-0.873498282449835,-0.634308111519031,-0.5275808517049696,0.38527783861955456,-0.8447349074644851,-0.3928471478262256,-0.7805081380148254,0.6172716959727736,0.5491451051350776,-0.1024038749710784,0.8613159387407827,0.6656857752245914,-0.4891418821309996,0.8526558352434239,0.7380641373956236,0.06478090739260095,0.8634840923500646,0.7489432531076747,0.07284102432961422,0.7184314391657207,0.42721271354881823,-0.24289075378975672,0.8149667256802505,0.6113108186072802,-0.028320057048137167,0.8829932338107219,0.6962328853421939,0.02317557406767341,-0.532633092287543,-0.6160612894812714,-0.3503601491407098,-0.4984068238913945,-0.5322470637696053,-0.322808855191755,0.6358811734156634,0.09014199684201796,0.27856933831514885,0.8608737067425509,0.47105901839466924,0.10385067405071474,0.8265335819281492,0.48981108483335845,0.6704132232924276,0.45263567942036514,0.3792896092812161,0.3795407944529255,0.49433241792412796,0.694275814604822
2024-12-16 08:00:00.001,0.8382184698967109,0.7516626741334965,0.5307217442237535,0.3285406558873162,0.7060185881720561,0.6376133675912816,0.45707476758717247,-0.43237199277824734,0.13285640342177035,0.6162140387809035,-0.12214535622020348,0.7859169809823532,0.24371083328484092,0.5307217442237535,0.005459510904326141,0.18228258473195033,0.054595109043261404,-0.005459510904326141,-0.3105844898651686,-0.20575244542705123,,0.8382184698967109,,,,-0.8403632783975618,-0.5885128681947233,-0.5093894333671374,0.3759656020892476,-0.8093344804259596,-0.31856232584178346,-0.7659481719323039,0.6960440572087153,0.5861543174668569,0.008326985992435034,0.8382184698967109,0.6376133675912816,-0.43237199277824734,0.8507205143662077,0.7175739109345622,-0.019540682041537593,0.8640947944963666,0.7262273029981542,-0.000543241639016148,0.6619970193740685,0.3636371212807133,-0.33657140156519666,0.815268877789552,0.5793468563175838,0.08576983996515081,0.8776733544909131,0.6693554524600105,-0.07713618126543886,-0.46319673064658834,-0.5735402407743885,-0.28538570054589346,-0.44167348506083953,-0.4802600649486687,-0.2629438065580858,0.5900994462072283,0.10401765297846102,0.3104133401600503,0.8582167167027751,0.39314977391660694,0.02479509613980883,0.8135371253518978,0.4776753204925098,0.6435097713804755,0.41072352355016345,0.32832131192881403,0.3133859110724444,0.45707476758717247,0.6682304348668803
2024-12-16 16:00:00.000,0.8144563226639453,0.7471181440794971,0.4931846522185023,0.3662475693316941,0.6708463843326492,0.5904277693485526,0.36825660118041925,-0.3627510863281075,0.17409733225128965,0.5649782700615359,-0.004701478633215965,0.7731082047221527,0.29996032038742704,0.4931846522185023,0.0,0.19505766728166782,-0.03372596563916056,0.0,-0.33279281293272844,-0.13357355742963486,,0.8144563226639453,,,,-0.8021253511541296,-0.53643630354317,-0.4839906698965176,0.3583341263370257,-0.7685814433395194,-0.23214513979634946,-0.7461293754173626,0.6938529561202638,0.5573966991422595,0.14685206789633398,0.8144563226639453,0.5904277693485526,-0.3627510863281075,0.84422356580577,0.6930545801410796,0.10314356976617532,0.8537368084593427,0.6982682868035186,0.10612904114921712,0.6109004739336492,0.2845811262755943,-0.24931235885250871,0.7943853816244969,0.5264229578315571,-0.012275151811061723,0.8678313179925391,0.6314773756845654,0.02394759891806062,-0.3902344094096896,-0.5216086389340079,-0.2101200060208776,-0.3682975709309138,-0.4227095309819838,-0.19011472883906783,0.5277950996298276,0.16064148655870772,0.34516244567956866,0.8419906688519808,0.4415765440769514,-0.07729460796531423,0.7945508157042267,0.44646804635552634,0.5941418597878471,0.35526554757506246,0.261942060450867,0.21925717003326617,0.4019272911371602,0.6259566849438227
