window_start,window_current_start,fundingRate,rate_7d_mean,rate_7d_std,rate_30d_mean,rate_30d_std,rate_zscore,rate_zscore_7d,rate_momentum_1d,rate_momentum_3d,rate_momentum_7d,rate_acceleration,pct_positive_7d,pct_positive_30d,rate_volatility_7d,hour,weekday,hour_sin,hour_cos,weekday_sin,weekday_cos,binance_premium,tri_exchange_mean,tri_exchange_std,tri_exchange_outlier,max_exchange_spread,usdt_supply,usdt_inflow_7d_pct,usdc_supply,usdc_inflow_7d_pct,total_stablecoin_supply,total_inflow_7d_pct,pred_direction_matches_actual,rate_btc,zscore_btc,mom_btc,rate_eth,zscore_eth,mom_eth,rate_sol,zscore_sol,mom_sol,rate_doge,zscore_doge,mom_doge,rate_xrp,zscore_xrp,mom_xrp,rate_avax,zscore_avax,mom_avax,rate_link,zscore_link,mom_link,btc_eth_spread,btc_sol_spread,eth_sol_spread,btc_eth_spread_zscore,btc_sol_spread_zscore,eth_sol_spread_zscore,hierarchy_normal,hierarchy_inversion,all_above_zscore_1,sync_score,btc_falling_sol_rising,rotation_direction,portfolio_rate_weighted,rel_score_btc,rel_score_eth,rel_score_sol,rel_score_doge,rel_score_xrp,rel_score_avax,rel_score_link
2023-10-02 16:00:00.000,2023-11-01 16:00:00.000,5.33101,9.33121,5.2212,9.53223,7.07193,1.50013,1.16048,0.43762,0.94867,1.19813,0.67788,2.59606,5.86713,5.2212,0.0,0.02001,0.0,0.0,0.01835,0.01576,0.0,5.33101,0.0,0.0,0.0,7.56105,12.22192,9.38094,1.45896,5.60574,1.34459,0.0,5.29634,2.91102,0.98491,4.93687,2.98934,2.31718,5.33101,1.50013,0.43762,3.95075,3.23955,0.42892,3.85505,3.47341,0.81004,4.01799,2.70505,1.01385,2.84768,3.94159,0.48544,2.04704,2.64361,1.37445,1.70138,1.24719,1.1445,0.0,1.29721,0.32201,1.14276,0.23438,1.00961,5.16563,0.99867,2.4874,0.82324,1.41113,1.47934,1.68825,2.31938
2023-10-12 16:00:00.000,2023-11-11 16:00:00.000,2.483,6.97509,2.93133,,4.34316,2.00802,1.91315,0.36326,0.89319,0.6528,0.52803,0.44481,,2.93133,0.0,0.02001,0.0,0.0,0.0134,0.01464,0.0,2.483,0.0,0.0,0.0,9.5261,8.27147,6.70305,3.98725,8.80553,4.54996,0.55431,2.49531,2.4122,0.19021,3.42659,2.0437,0.33296,2.483,2.00802,0.36326,1.30961,3.3833,0.13134,1.81068,3.89335,0.20502,1.99044,2.66871,0.31353,0.8651,3.295,0.59956,0.47092,0.98347,0.97982,1.73131,2.13246,2.04853,0.15153,0.66855,0.58955,0.40011,0.01686,0.08018,3.59428,1.96629,2.70299,1.35486,1.77887,2.38449,2.74511,2.99082
2023-10-22 16:00:00.000,2023-11-21 16:00:00.000,0.56311,3.77531,2.08543,,4.4594,2.67817,1.14559,0.32547,0.09911,0.29441,0.20563,0.36308,7.57264,2.08543,0.0,0.02001,0.0,0.0,0.01296,0.01485,0.0,0.56311,0.0,0.0,0.0,7.4851,3.27827,3.25034,6.11488,8.76731,5.57439,0.02347,0.25778,2.46194,0.11926,0.30999,1.4926,0.21447,0.56311,2.67817,0.32547,0.58902,2.00273,0.5029,0.33651,1.29305,0.08013,0.2212,1.44877,0.1581,0.31234,1.35411,0.31502,0.10957,0.68879,0.22713,1.66311,1.88994,1.62463,0.00216,0.0576,1.05194,0.12962,0.0,0.01301,0.88854,1.92092,1.68152,4.27547,4.85593,1.8819,2.21609,2.46349
2023-11-01 16:00:00.000,2023-12-01 16:00:00.000,0.48435,2.72466,2.12074,,3.37495,1.16617,0.45439,0.81571,0.55926,0.30694,0.58394,1.28042,3.47459,2.12074,0.0,0.02001,0.0,0.0,0.01923,0.01009,0.0,0.48435,0.0,0.0,0.0,8.60257,5.34716,2.45706,6.5293,7.43645,2.62064,0.55695,0.76257,0.83419,0.62134,0.93818,0.57607,0.48497,0.48435,1.16617,0.81571,0.90866,0.29715,0.10608,1.06283,1.74688,0.72151,0.60857,0.58352,0.4042,0.9877,1.20413,0.26787,0.43022,0.76762,0.57282,2.28727,2.79317,1.50531,0.13598,0.27349,0.07478,1.00389,0.05778,1.54938,0.94169,0.33193,0.37228,2.07398,1.44284,0.56929,0.68633,0.71483
2023-11-11 16:00:00.000,2023-12-11 16:00:00.000,0.10731,0.96628,3.82273,6.70106,3.55036,0.43074,0.30567,0.32678,0.27663,0.87374,0.78063,1.17371,6.84957,3.82273,0.0,0.02001,0.0,0.0,0.01819,0.00126,0.0,0.10731,0.0,0.0,0.0,8.56435,3.65579,1.28749,3.98549,7.93096,1.46877,0.08654,0.75431,1.06157,0.21117,0.71095,1.30338,1.12214,0.10731,0.43074,0.32678,0.1932,0.71852,0.02481,0.42073,1.66248,0.41876,1.16851,0.71133,0.21549,0.27733,0.6518,0.22076,0.73228,0.37129,0.5036,1.58891,0.66492,0.75723,0.01723,0.35098,0.23438,0.51614,0.00801,0.28302,0.54483,0.52876,0.52685,1.36511,1.66153,0.83999,1.37022,0.32313
2023-11-21 16:00:00.000,2023-12-21 16:00:00.000,0.3751,0.88356,3.16804,4.7791,1.43886,1.79623,0.60295,0.12578,0.25973,0.18012,0.70764,0.44203,5.93227,3.16804,0.0,0.02001,0.0,0.0,0.01689,0.00252,0.0,0.3751,0.0,0.0,0.0,5.67385,8.70045,8.36568,1.72219,9.47532,2.91522,0.04488,0.31958,3.84986,0.18844,1.06232,4.29901,0.55778,0.3751,1.79623,0.12578,0.5439,4.1928,0.07019,1.04785,3.44962,0.32581,0.61422,4.1434,0.16944,0.47857,4.48197,0.90931,0.767,0.17196,0.32568,0.63313,0.6182,0.32966,0.0669,0.07008,0.44788,2.8055,0.02427,0.04516,1.0081,1.23834,4.24653,1.89569,4.40317,0.47547,0.70033,0.44401
2023-12-01 16:00:00.000,2023-12-31 16:00:00.000,1.14108,2.20152,8.74,2.81913,11.51944,0.91314,1.21749,1.70545,1.7949,1.59705,1.99332,2.84557,1.28004,8.74,0.0,0.02001,0.0,0.0,0.0167,0.01224,0.0,1.14108,0.0,0.0,0.0,8.62826,6.52068,3.73158,4.8708,6.50629,2.25943,1.19964,1.67841,3.85534,1.23774,1.64539,0.9723,0.86639,1.14108,0.91314,1.70545,1.60636,1.92251,1.41583,2.13408,2.11593,3.28785,1.51232,1.23822,1.35471,2.16884,2.58674,1.38123,1.0423,1.5061,2.42079,0.67283,1.63746,1.7372,0.17828,0.42012,0.10633,4.70347,0.09713,2.25794,1.71969,3.21747,3.16541,3.29461,3.88328,2.01186,2.37881,2.97957
2023-12-11 16:00:00.000,2024-01-10 16:00:00.000,2.48831,6.53644,10.62721,4.68019,3.27237,1.7486,4.90319,2.39333,3.41092,4.01204,2.76368,10.09146,3.80399,10.62721,0.0,0.02001,0.0,0.0,0.01835,0.01576,0.0,2.48831,0.0,0.0,0.0,10.83764,2.53116,5.92395,3.67496,9.72618,2.07665,4.48025,2.85878,2.56403,1.67091,3.00744,1.88347,2.39908,2.48831,1.7486,2.39333,3.11101,2.87756,2.933,3.17211,3.31115,3.06521,3.03934,2.81534,3.32604,2.23418,2.52121,2.07382,1.19925,1.64921,1.76596,0.6958,0.80148,1.22627,0.11415,0.15063,1.26608,5.50111,0.03975,0.51326,3.39382,2.25055,3.22229,3.63399,4.05397,3.86219,3.51952,2.78651
2023-12-21 16:00:00.000,2024-01-20 16:00:00.000,0.93447,2.69985,4.26327,6.83621,3.46395,1.21197,3.29627,1.07251,1.87025,2.03751,1.21588,2.48399,7.55246,4.26327,0.0,0.02001,0.0,0.0,0.0134,0.01464,0.0,0.93447,0.0,0.0,0.0,6.27231,2.88567,8.09294,2.11721,6.72221,1.10104,0.22789,1.9432,2.14474,1.29172,2.51451,0.7979,2.01609,0.93447,1.21197,1.07251,1.25544,2.50597,0.54584,1.54842,5.34406,1.06926,1.40121,1.90658,1.25622,1.45961,3.10933,0.8787,0.91637,1.09715,0.6171,0.43217,1.19026,0.49493,0.01859,0.02755,0.31413,1.21631,0.02427,0.13543,2.35875,1.01628,1.48919,0.99707,0.45315,3.2523,0.84032,1.00997
2023-12-31 16:00:00.000,2024-01-30 16:00:00.001,1.20367,0.67218,4.96793,4.79346,10.68229,5.83809,2.27572,0.7276,1.51194,1.72015,0.79925,0.22354,2.39818,4.96793,0.0,0.02001,0.0,0.0,0.01296,0.01485,0.0,1.20367,0.0,0.0,0.0,8.90017,2.76789,8.75986,0.95095,8.81584,2.13374,0.92158,1.45884,4.60961,0.48819,0.78025,4.97359,1.05751,1.20367,5.83809,0.7276,0.7257,8.12301,1.07629,1.70141,7.86144,1.37217,1.20315,8.82121,0.64773,1.62866,11.75362,0.66406,1.35067,2.36203,2.55991,3.23117,6.79667,2.44974,0.20488,0.57942,0.17828,1.59874,0.09713,2.04188,2.93784,11.17254,9.73987,5.17277,4.61002,4.59965,5.00053,4.94956
